Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
2.0900        -1149.611    -1165.867       16.256   918.0
2.0950        -1149.634    -1165.710       16.076   907.8
2.1000        -1149.660    -1165.894       16.234   916.8
2.1050        -1149.700    -1165.970       16.270   918.8
2.1100        -1149.715    -1165.656       15.941   900.2
2.1150        -1149.724    -1165.807       16.082   908.2
2.1200        -1149.738    -1165.722       15.984   902.6
2.1250        -1149.741    -1165.672       15.931   899.6
2.1300        -1149.733    -1165.522       15.789   891.6
2.1350        -1149.720    -1165.549       15.829   893.8
2.1400        -1149.705    -1165.325       15.620   882.1
2.1450        -1149.662    -1165.096       15.434   871.5
2.1500        -1149.609    -1165.154       15.545   877.8
2.1550        -1149.589    -1165.673       16.084   908.2
2.1600        -1149.607    -1165.619       16.012   904.2
2.1650        -1149.578    -1164.935       15.357   867.2
2.1700        -1149.484    -1164.391       14.906   841.8
2.1750        -1149.378    -1164.466       15.088   852.0
2.1800        -1149.294    -1164.368       15.074   851.2
2.1850        -1149.186    -1164.095       14.909   841.9
2.1900        -1149.097    -1164.452       15.355   867.1
2.1950        -1149.057    -1164.922       15.865   895.9
2.2000        -1149.052    -1164.992       15.940   900.1
2.2050        -1149.039    -1164.930       15.891   897.4
2.2100        -1149.048    -1165.463       16.415   927.0
2.2150        -1149.133    -1166.417       17.283   976.0
2.2200        -1149.281    -1166.807       17.526   989.7
